name,record_id,instrument,chapter,filename,VIS_rmse,VIS_variance,VIS_coverage,NIR_rmse,NIR_variance,NIR_coverage,SWIR_rmse,SWIR_variance,SWIR_coverage,MWIR_rmse,MWIR_variance,MWIR_coverage,LWIR_rmse,LWIR_variance,LWIR_coverage
"NaCl (Querry)",Querry,RefractiveIndex.info,main,Querry.yml,0.000973,0.993564,1.000000,0.003471,0.990810,1.000000,0.000512,0.973670,1.000000,0.001070,0.000000,1.000000,0.000192,1.000000,0.705882
"Nb (Golovashkin-293K)",Golovashkin-293K,RefractiveIndex.info,main,Golovashkin-293K.yml,0.001797,0.993943,0.883721,0.002094,0.998752,1.000000,0.001318,0.997792,1.000000,0.001611,0.718874,1.000000,0.000877,1.000000,0.411765
"Nb (Golovashkin-4.2K)",Golovashkin-4.2K,RefractiveIndex.info,main,Golovashkin-4.2K.yml,0.000705,0.979689,0.534884,0.001474,0.992588,1.000000,0.000965,0.993261,1.000000,0.001335,0.824020,1.000000,0.000867,1.000000,0.411765
"Nb (Golovashkin-78K)",Golovashkin-78K,RefractiveIndex.info,main,Golovashkin-78K.yml,0.006687,0.965323,0.883721,0.001506,0.999561,1.000000,0.002234,0.992884,1.000000,0.002078,0.813051,1.000000,0.000537,0.882624,0.317647
"Nb (Weaver)",Weaver,RefractiveIndex.info,main,Weaver.yml,0.001084,0.997408,1.000000,0.003208,0.975578,0.256562,0.000565,1.000000,0.000000,0.000794,1.000000,0.000000,0.000465,1.000000,0.000000
"Nb (Windt)",Windt,RefractiveIndex.info,main,Windt.yml,0.000183,1.000000,0.000000,0.000238,1.000000,0.000000,0.000201,1.000000,0.000000,0.000176,1.000000,0.000000,0.000209,1.000000,0.000000
"Nb2O5 (Franta)",Franta,RefractiveIndex.info,main,Franta.yml,0.000186,0.983325,1.000000,0.000227,1.000000,1.000000,0.000212,1.000000,1.000000,0.000661,0.986373,1.000000,0.008689,0.995374,1.000000
"Nb2O5 (Horcholle-400)",Horcholle-400,RefractiveIndex.info,main,Horcholle-400.yml,0.000574,0.998455,1.000000,0.000399,1.000000,0.145500,0.000495,1.000000,0.000000,0.000396,1.000000,0.000000,0.000223,1.000000,0.000000
"Nb2O5 (Horcholle-800)",Horcholle-800,RefractiveIndex.info,main,Horcholle-800.yml,0.000424,0.999018,1.000000,0.000398,1.000000,0.145500,0.000455,1.000000,0.000000,0.000283,1.000000,0.000000,0.000247,1.000000,0.000000
"Nb2O5 (Lemarchand)",Lemarchand,RefractiveIndex.info,main,Lemarchand.yml,0.000542,0.998796,1.000000,0.000409,0.909938,1.000000,0.000346,1.000000,1.000000,0.000486,1.000000,0.000000,0.000225,1.000000,0.000000
"NbSe2 (Munkhbat-e)",Munkhbat-e,RefractiveIndex.info,main,Munkhbat-e.yml,0.000519,0.999125,1.000000,0.001096,0.992767,1.000000,0.003812,0.999564,0.421429,0.000284,1.000000,0.000000,0.000461,1.000000,0.000000
"NbSe2 (Munkhbat-o)",Munkhbat-o,RefractiveIndex.info,main,Munkhbat-o.yml,0.011082,0.944451,1.000000,0.000848,0.994467,1.000000,0.001103,0.929002,0.421429,0.000147,1.000000,0.000000,0.000186,1.000000,0.000000
"Ni (Johnson)",Johnson,RefractiveIndex.info,main,Johnson.yml,0.001113,0.997657,1.000000,0.000521,1.000000,1.000000,0.000513,1.000000,0.597857,0.000234,1.000000,0.000000,0.000154,1.000000,0.000000
"Ni (Ordal)",Ordal,RefractiveIndex.info,main,Ordal.yml,0.001390,0.969190,0.262791,0.002529,0.994118,1.000000,0.001260,0.933348,1.000000,0.001030,0.657797,1.000000,0.000400,1.000000,1.000000
"Ni (Rakic-BB)",Rakic-BB,RefractiveIndex.info,main,Rakic-BB.yml,0.002234,0.997810,1.000000,0.000497,0.963454,1.000000,0.000395,0.952133,1.000000,0.000232,1.000000,1.000000,0.000159,1.000000,0.693882
"Ni (Rakic-LD)",Rakic-LD,RefractiveIndex.info,main,Rakic-LD.yml,0.003354,0.997350,1.000000,0.000501,0.951183,1.000000,0.000448,0.923839,1.000000,0.000238,1.000000,1.000000,0.000159,1.000000,0.693882
"Ni (Werner-DFT)",Werner-DFT,RefractiveIndex.info,main,Werner-DFT.yml,0.006959,0.999149,1.000000,0.000538,0.748848,1.000000,0.000397,1.000000,0.985489,0.000210,1.000000,0.000000,0.000176,1.000000,0.000000
"Ni (Werner)",Werner,RefractiveIndex.info,main,Werner.yml,0.001439,0.999873,1.000000,0.001390,0.867354,1.000000,0.000833,0.733583,0.985489,0.000225,1.000000,0.000000,0.000162,1.000000,0.000000
"NiPS3 (Zotev)",Zotev,RefractiveIndex.info,main,Zotev.yml,0.001133,0.998790,0.976744,0.000400,0.995866,0.687500,0.000509,1.000000,0.000000,0.000356,1.000000,0.000000,0.000523,1.000000,0.000000
"Os (Nemoshkalenko-e)",Nemoshkalenko-e,RefractiveIndex.info,main,Nemoshkalenko-e.yml,0.003288,0.996998,1.000000,0.001510,0.994540,1.000000,0.003060,0.997923,1.000000,0.001759,0.509276,1.000000,0.000562,0.768194,0.176471
"Os (Nemoshkalenko-o)",Nemoshkalenko-o,RefractiveIndex.info,main,Nemoshkalenko-o.yml,0.001255,0.999801,1.000000,0.002703,0.999491,1.000000,0.003173,0.995566,1.000000,0.001689,0.919214,1.000000,0.000630,0.939886,1.000000
"Os (Windt)",Windt,RefractiveIndex.info,main,Windt.yml,0.000183,1.000000,0.000000,0.000238,1.000000,0.000000,0.000201,1.000000,0.000000,0.000176,1.000000,0.000000,0.000209,1.000000,0.000000
