name,record_id,instrument,chapter,filename,VIS_rmse,VIS_variance,VIS_coverage,NIR_rmse,NIR_variance,NIR_coverage,SWIR_rmse,SWIR_variance,SWIR_coverage,MWIR_rmse,MWIR_variance,MWIR_coverage,LWIR_rmse,LWIR_variance,LWIR_coverage
"Chiastolic Slate (slate3)",slate3,becknic,rock,rock.metamorphic.slate.fine.all.slate3.jhu.becknic.spectrum.txt,0.001431,0.942614,0.883721,0.000802,0.899394,1.000000,0.000618,0.985391,1.000000,0.000935,0.993296,1.000000,0.000564,0.992898,0.998000
"Red Slate (Ward91)",Ward91,becknic,rock,rock.metamorphic.slate.solid.all.ward91.jpl.nicolet.spectrum.txt,0.000470,1.000000,0.000000,0.000516,1.000000,0.000000,0.003382,0.833316,0.357286,0.002427,0.997329,1.000000,0.004912,0.995799,1.000000
"Gray Slate (Ward92)",Ward92,becknic,rock,rock.metamorphic.slate.solid.all.ward92.jpl.nicolet.spectrum.txt,0.000470,1.000000,0.000000,0.000516,1.000000,0.000000,0.003382,0.833316,0.357286,0.002427,0.997329,1.000000,0.004912,0.995799,1.000000
"Red Slate (Ward91)",Ward91,becknic,rock,rock.metamorphic.slate.solid.vswir.ward91.jpl.perkin.spectrum.txt,0.001439,0.999257,0.883721,0.002907,0.758764,1.000000,0.001172,0.998276,1.000000,0.000512,1.000000,0.000000,0.000386,1.000000,0.000000
"Gray Slate (Ward92)",Ward92,becknic,rock,rock.metamorphic.slate.solid.vswir.ward92.jpl.perkin.spectrum.txt,0.000457,0.984147,0.883721,0.000704,0.957732,1.000000,0.000671,0.982113,1.000000,0.000346,1.000000,0.000000,0.000305,1.000000,0.000000
"White kaolinitic sandstone (fge1)",fge1,becknic,rock,rock.sedimentary.arenaceou.solid.tir.fge1.jpl.nicolet.spectrum.txt,0.000430,1.000000,0.000000,0.000686,1.000000,0.000000,0.005889,0.988278,0.300357,0.005073,0.997646,1.000000,0.002615,0.998566,0.998000
"Desert varnished ferruginous sandstone (fge2)",fge2,becknic,rock,rock.sedimentary.arenaceou.solid.tir.fge2.jpl.nicolet.spectrum.txt,0.000860,1.000000,0.000000,0.000677,1.000000,0.000000,0.002814,0.996309,0.300357,0.002368,0.998818,1.000000,0.002229,0.999002,0.998000
"White siltstone (fge5)",fge5,becknic,rock,rock.sedimentary.arenaceou.solid.tir.fge5.jpl.nicolet.spectrum.txt,0.000556,1.000000,0.000000,0.000675,1.000000,0.000000,0.003998,0.990690,0.300357,0.004273,0.998612,1.000000,0.001941,0.995852,0.998000
"Grey-green shale (FGE6)",FGE6,becknic,rock,rock.sedimentary.argillaceou.solid.tir.fge6.jpl.nicolet.spectrum.txt,0.001327,0.000000,0.000000,0.000505,1.000000,0.000000,0.002616,0.994070,0.300357,0.001762,0.999239,1.000000,0.002628,0.998837,0.998000
"Limestone Breccia (Ward47)",Ward47,becknic,rock,rock.sedimentary.breccia.solid.all.ward47.jpl.nicolet.spectrum.txt,0.001106,0.000000,0.000000,0.000566,1.000000,0.000000,0.006569,0.968697,0.357286,0.007950,0.984379,1.000000,0.006804,0.989166,1.000000
"Limestone Breccia (Ward47)",Ward47,becknic,rock,rock.sedimentary.breccia.solid.vswir.ward47.jpl.perkin.spectrum.txt,0.001754,0.999511,0.883721,0.002462,0.977003,1.000000,0.003191,0.996795,1.000000,0.000690,1.000000,0.000000,0.000472,1.000000,0.000000
"Grey limestone (FGE3)",FGE3,becknic,rock,rock.sedimentary.carbonate.solid.tir.fge3.jpl.nicolet.spectrum.txt,0.000477,1.000000,0.000000,0.000544,1.000000,0.000000,0.001098,0.990154,0.300357,0.004197,0.988314,1.000000,0.002627,0.996503,0.998000
"Gypsum (Ward75)",Ward75,becknic,rock,rock.sedimentary.chemicalprecipitate.solid.all.ward75.jpl.nicolet.spectrum.txt,0.000498,1.000000,0.000000,0.000376,1.000000,0.000000,0.003575,0.946220,0.357286,0.002484,0.986607,1.000000,0.006591,0.993383,1.000000
"Oolitic Iron Ore (Ward76)",Ward76,becknic,rock,rock.sedimentary.chemicalprecipitate.solid.all.ward76.jpl.nicolet.spectrum.txt,0.000533,1.000000,0.000000,0.000422,1.000000,0.000000,0.003239,0.183432,0.357286,0.001742,0.983835,1.000000,0.001304,0.998204,1.000000
"Gypsum (Ward75)",Ward75,becknic,rock,rock.sedimentary.chemicalprecipitate.solid.vswir.ward75.jpl.perkin.spectrum.txt,0.001338,0.995466,0.883721,0.005464,0.759856,1.000000,0.004341,0.997803,1.000000,0.000837,1.000000,0.000000,0.000628,1.000000,0.000000
"Oolitic Iron Ore (Ward76)",Ward76,becknic,rock,rock.sedimentary.chemicalprecipitate.solid.vswir.ward76.jpl.perkin.spectrum.txt,0.001090,0.998829,0.883721,0.003070,0.877900,1.000000,0.000800,0.997398,1.000000,0.000544,1.000000,0.000000,0.000354,1.000000,0.000000
"Quartz Conglomerate (Ward48)",Ward48,becknic,rock,rock.sedimentary.conglomerate.solid.all.ward48.jpl.nicolet.spectrum.txt,0.001386,0.000000,0.000000,0.000544,1.000000,0.000000,0.005481,0.948939,0.357286,0.002869,0.997424,1.000000,0.005792,0.998963,1.000000
"Quartz Conglomerate (Ward49)",Ward49,becknic,rock,rock.sedimentary.conglomerate.solid.all.ward49.jpl.nicolet.spectrum.txt,0.000421,1.000000,0.000000,0.000689,1.000000,0.000000,0.003334,0.977078,0.357286,0.005297,0.997499,1.000000,0.003272,0.999429,1.000000
"Limestone Conglomerate-Breccia (Ward50)",Ward50,becknic,rock,rock.sedimentary.conglomerate.solid.all.ward50.jpl.nicolet.spectrum.txt,0.000560,1.000000,0.000000,0.000466,1.000000,0.000000,0.003225,0.986263,0.357286,0.006097,0.991182,1.000000,0.004065,0.995703,1.000000
"Quartz Conglomerate (Ward48)",Ward48,becknic,rock,rock.sedimentary.conglomerate.solid.vswir.ward48.jpl.perkin.spectrum.txt,0.000827,0.999717,0.883721,0.001918,0.985030,1.000000,0.004996,0.994805,1.000000,0.000742,1.000000,0.000000,0.000591,1.000000,0.000000
"Quartz Conglomerate (Ward49)",Ward49,becknic,rock,rock.sedimentary.conglomerate.solid.vswir.ward49.jpl.perkin.spectrum.txt,0.001425,0.999876,0.883721,0.000655,0.999202,1.000000,0.002203,0.998911,1.000000,0.000567,1.000000,0.000000,0.000651,1.000000,0.000000
"Limestone Conglomerate-Breccia (Ward50)",Ward50,becknic,rock,rock.sedimentary.conglomerate.solid.vswir.ward50.jpl.perkin.spectrum.txt,0.001017,0.999719,0.883721,0.002137,0.943207,1.000000,0.001193,0.998745,1.000000,0.000511,1.000000,0.000000,0.000380,1.000000,0.000000
"Dolomite  CaMgCO3 (ro350c)",ro350c,becknic,rock,rock.sedimentary.dolomite.solid.all.ro350c.usgs.perknic.spectrum.txt,0.000022,1.000000,0.883721,0.000017,1.000000,1.000000,0.000053,0.997327,1.000000,0.000100,1.000000,1.000000,0.000050,1.000000,0.883894
"Dolomite  CaMgCO3 (ro368)",ro368,becknic,rock,rock.sedimentary.dolomite.solid.all.ro368.usgs.perknic.spectrum.txt,0.000025,1.000000,0.883721,0.000029,1.000000,1.000000,0.000053,0.997305,1.000000,0.000090,1.000000,1.000000,0.000052,1.000000,0.883894
"Dolomite  CaMgCO3 (ro391)",ro391,becknic,rock,rock.sedimentary.dolomite.solid.all.ro391.usgs.perknic.spectrum.txt,0.000018,1.000000,0.883721,0.000014,1.000000,1.000000,0.000026,1.000000,1.000000,0.000050,1.000000,1.000000,0.000041,1.000000,0.883894
"Fossiliferous Limestone (limestone_1)",limestone_1,becknic,rock,rock.sedimentary.limestone.coarse.all.limestone_1.jhu.becknic.spectrum.txt,0.002023,0.999371,0.883721,0.002239,0.965984,1.000000,0.003993,0.995716,1.000000,0.007229,0.991087,1.000000,0.002778,0.985810,0.883671
"Dolomitic Limestone (limestone_2)",limestone_2,becknic,rock,rock.sedimentary.limestone.coarse.all.limestone_2.jhu.becknic.spectrum.txt,0.003800,0.999178,0.883721,0.002994,0.996094,1.000000,0.009421,0.994345,1.000000,0.020346,0.960199,1.000000,0.003279,0.988323,0.883671
"Limestone (limestone_3)",limestone_3,becknic,rock,rock.sedimentary.limestone.coarse.all.limestone_3.jhu.becknic.spectrum.txt,0.001207,0.962105,0.883721,0.001186,0.861842,1.000000,0.000772,0.986481,1.000000,0.006584,0.977286,1.000000,0.005894,0.968858,0.883671
"Oolitic Limestone (limestone_4)",limestone_4,becknic,rock,rock.sedimentary.limestone.coarse.all.limestone_4.jhu.becknic.spectrum.txt,0.001137,0.998610,0.883721,0.000680,0.968539,1.000000,0.002381,0.972260,1.000000,0.008218,0.982117,1.000000,0.003861,0.990088,0.998012
"Lithographic Limestone (limestone_5)",limestone_5,becknic,rock,rock.sedimentary.limestone.coarse.all.limestone_5.jhu.becknic.spectrum.txt,0.002401,0.999646,0.883721,0.002970,0.914422,1.000000,0.005975,0.996649,1.000000,0.012989,0.983729,1.000000,0.004372,0.952719,0.998012
"Argillaceous Limestone (limestone_6)",limestone_6,becknic,rock,rock.sedimentary.limestone.coarse.all.limestone_6.jhu.becknic.spectrum.txt,0.002339,0.998861,0.883721,0.001971,0.974209,1.000000,0.002667,0.995881,1.000000,0.006025,0.995589,1.000000,0.002110,0.986522,0.998012
"Oolitic Limestone (limestone_7)",limestone_7,becknic,rock,rock.sedimentary.limestone.coarse.all.limestone_7.jhu.becknic.spectrum.txt,0.002248,0.999526,0.883721,0.002284,0.760939,1.000000,0.002011,0.998964,1.000000,0.003468,0.993408,1.000000,0.001569,0.994004,0.998012
