# Red wall of the Cornell box: SLUM sample B008.
#
# Manual entry: Class "Ceramic brick", Material "Ceramic", Colour "Light red",
# Status "New", 215 x 65 x 100 mm.
#
# Source: Kotthaus, Smith, Wooster & Grimmond (2014), ISPRS J. Photogramm.
# Remote Sens. 94:194-212.  Data DOI: 10.5281/zenodo.4263842.  Licence CC-BY 4.0.
# Short-wave reflectance measured on a Beckman spectrophotometer; the 8-14 um
# segment is FTIR emissivity inverted once as rho = 1 - eps, valid because these
# surfaces are opaque (tau = 0).
#
# Chosen over the previous ECOSTRESS "Red smooth-faced Brick (0097UUUBRK)"
# because it is both more saturated and brighter -- 0.67 against 0.56 in HSV
# saturation and 0.266 against 0.149 in luminance, under D65 through this
# renderer own colour conversion.
#
# WHAT THIS CURVE DOES NOT MEASURE. The two instruments leave a 5.5 um gap
# between 2506 nm and 8002 nm, and SpectralCurve::Evaluate interpolates linearly
# across it. Every value this file implies between those wavelengths is a
# straight line, not a measurement -- which covers the whole of MWIR. The
# visible, NIR and SWIR bands are measured throughout, and the Cornell box is a
# visible-light scene in every gate and experiment that uses it. Do not read a
# MWIR number off this wall.
#
# wavelength_nm, reflectance
941.6, 0.502985
942.6, 0.503717
943.6, 0.504345
944.7, 0.505186
945.7, 0.505745
946.7, 0.506499
947.7, 0.507433
948.8, 0.508163
949.8, 0.509019
950.8, 0.509745
951.8, 0.510887
952.8, 0.512056
953.8, 0.512915
954.8, 0.513816
955.8, 0.514273
956.8, 0.515279
957.8, 0.516064
958.7, 0.516950
959.7, 0.517848
960.7, 0.518259
961.7, 0.519297
962.6, 0.519883
963.6, 0.521073
964.6, 0.522082
965.5, 0.523077
966.5, 0.524324
967.5, 0.524907
968.4, 0.526533
969.4, 0.527550
970.3, 0.528022
971.2, 0.529197
972.2, 0.530036
973.1, 0.531644
974.0, 0.533032
974.9, 0.534650
975.9, 0.536105
976.8, 0.537318
977.7, 0.539034
978.6, 0.539816
979.5, 0.540715
981.6, 0.542350
985.4, 0.544593
989.3, 0.546833
993.1, 0.550194
997.0, 0.553715
1000.8, 0.557551
1004.7, 0.561312
1008.5, 0.564830
1012.4, 0.567976
1016.2, 0.571127
1020.1, 0.574496
1023.9, 0.577841
1027.8, 0.580589
1031.6, 0.584207
1035.4, 0.587306
1039.3, 0.590543
1043.1, 0.593520
1047.0, 0.596244
1050.8, 0.599205
1054.7, 0.602280
1058.5, 0.605212
1062.3, 0.608128
1066.2, 0.611029
1070.0, 0.614175
1073.8, 0.616876
1077.7, 0.619464
1081.5, 0.621647
1085.3, 0.623752
1089.2, 0.626207
1093.0, 0.628709
1096.8, 0.631197
1100.7, 0.633775
1104.5, 0.636040
1108.3, 0.638580
1112.2, 0.640928
1116.0, 0.643159
1119.8, 0.645158
1123.7, 0.647146
1127.5, 0.649244
1131.3, 0.651336
1135.1, 0.653132
1139.0, 0.654848
1142.8, 0.656453
1146.6, 0.658354
1150.4, 0.660121
1154.2, 0.661870
1158.0, 0.663404
1161.9, 0.665114
1165.7, 0.666645
1169.5, 0.667904
1173.3, 0.668892
1177.1, 0.670012
1180.9, 0.671045
1184.7, 0.672167
1188.5, 0.673187
1192.3, 0.674092
1196.1, 0.674831
1199.9, 0.675807
1203.7, 0.676578
1207.5, 0.677235
1211.3, 0.677982
1215.1, 0.678762
1218.9, 0.679418
1222.7, 0.680148
1226.5, 0.680859
1230.3, 0.681518
1234.1, 0.682119
1237.9, 0.682913
1241.7, 0.683717
1245.5, 0.684588
1249.2, 0.685403
1253.0, 0.685779
1256.8, 0.686129
1260.6, 0.686646
1264.3, 0.687168
1268.1, 0.687623
1271.9, 0.687867
1275.7, 0.688286
1279.4, 0.688718
1283.2, 0.689327
1287.0, 0.689804
1290.7, 0.690064
1294.5, 0.690484
1298.2, 0.690906
1302.0, 0.691109
1305.7, 0.691189
1309.5, 0.691046
1313.2, 0.691079
1317.0, 0.691106
1320.7, 0.691217
